,model,ensemble,exp,warming_level,start_year,end_year
0,KACE-1-0-G,r1i1p1f1,ssp370,1,1991,2010
0,KACE-1-0-G,r1i1p1f1,ssp370,1.5,2005,2024
0,KACE-1-0-G,r1i1p1f1,ssp370,2,2015,2034
0,KACE-1-0-G,r1i1p1f1,ssp370,2.5,2025,2044
0,KACE-1-0-G,r1i1p1f1,ssp370,3,2037,2056
0,KACE-1-0-G,r1i1p1f1,ssp370,3.5,2050,2069
0,KACE-1-0-G,r1i1p1f1,ssp370,4,2062,2081
0,KACE-1-0-G,r1i1p1f1,ssp585,1,1991,2010
0,KACE-1-0-G,r1i1p1f1,ssp585,1.5,2005,2024
0,KACE-1-0-G,r1i1p1f1,ssp585,2,2014,2033
0,KACE-1-0-G,r1i1p1f1,ssp585,2.5,2023,2042
0,KACE-1-0-G,r1i1p1f1,ssp585,3,2034,2053
0,KACE-1-0-G,r1i1p1f1,ssp585,3.5,2044,2063
0,KACE-1-0-G,r1i1p1f1,ssp585,4,2053,2072
0,MCM-UA-1-0,r1i1p1f2,ssp126,1,1993,2012
0,MCM-UA-1-0,r1i1p1f2,ssp126,1.5,2007,2026
0,MCM-UA-1-0,r1i1p1f2,ssp126,2,2027,2046
0,MCM-UA-1-0,r1i1p1f2,ssp126,2.5,,
0,MCM-UA-1-0,r1i1p1f2,ssp126,3,,
0,MCM-UA-1-0,r1i1p1f2,ssp126,3.5,,
0,MCM-UA-1-0,r1i1p1f2,ssp126,4,,
0,MCM-UA-1-0,r1i1p1f2,ssp245,1,1993,2012
0,MCM-UA-1-0,r1i1p1f2,ssp245,1.5,2008,2027
0,MCM-UA-1-0,r1i1p1f2,ssp245,2,2026,2045
0,MCM-UA-1-0,r1i1p1f2,ssp245,2.5,2047,2066
0,MCM-UA-1-0,r1i1p1f2,ssp245,3,2062,2081
0,MCM-UA-1-0,r1i1p1f2,ssp245,3.5,,
0,MCM-UA-1-0,r1i1p1f2,ssp245,4,,
0,MCM-UA-1-0,r1i1p1f2,ssp370,1,1993,2012
0,MCM-UA-1-0,r1i1p1f2,ssp370,1.5,2009,2028
0,MCM-UA-1-0,r1i1p1f2,ssp370,2,2025,2044
0,MCM-UA-1-0,r1i1p1f2,ssp370,2.5,2044,2063
0,MCM-UA-1-0,r1i1p1f2,ssp370,3,2058,2077
0,MCM-UA-1-0,r1i1p1f2,ssp370,3.5,2068,2087
0,MCM-UA-1-0,r1i1p1f2,ssp370,4,2079,2098
0,MCM-UA-1-0,r1i1p1f2,ssp585,1,1993,2012
0,MCM-UA-1-0,r1i1p1f2,ssp585,1.5,2006,2025
0,MCM-UA-1-0,r1i1p1f2,ssp585,2,2022,2041
0,MCM-UA-1-0,r1i1p1f2,ssp585,2.5,2033,2052
0,MCM-UA-1-0,r1i1p1f2,ssp585,3,2044,2063
0,MCM-UA-1-0,r1i1p1f2,ssp585,3.5,2055,2074
0,MCM-UA-1-0,r1i1p1f2,ssp585,4,2064,2083
0,MIROC-ES2L,r1i1p1f2,ssp126,1,2010,2029
0,MIROC-ES2L,r1i1p1f2,ssp126,1.5,2031,2050
0,MIROC-ES2L,r1i1p1f2,ssp126,2,,
0,MIROC-ES2L,r1i1p1f2,ssp126,2.5,,
0,MIROC-ES2L,r1i1p1f2,ssp126,3,,
0,MIROC-ES2L,r1i1p1f2,ssp126,3.5,,
0,MIROC-ES2L,r1i1p1f2,ssp126,4,,
0,MIROC-ES2L,r1i1p1f2,ssp245,1,2010,2029
0,MIROC-ES2L,r1i1p1f2,ssp245,1.5,2031,2050
0,MIROC-ES2L,r1i1p1f2,ssp245,2,2053,2072
0,MIROC-ES2L,r1i1p1f2,ssp245,2.5,,
0,MIROC-ES2L,r1i1p1f2,ssp245,3,,
0,MIROC-ES2L,r1i1p1f2,ssp245,3.5,,
0,MIROC-ES2L,r1i1p1f2,ssp245,4,,
0,MIROC-ES2L,r1i1p1f2,ssp370,1,2010,2029
0,MIROC-ES2L,r1i1p1f2,ssp370,1.5,2030,2049
0,MIROC-ES2L,r1i1p1f2,ssp370,2,2045,2064
0,MIROC-ES2L,r1i1p1f2,ssp370,2.5,2062,2081
0,MIROC-ES2L,r1i1p1f2,ssp370,3,2075,2094
0,MIROC-ES2L,r1i1p1f2,ssp370,3.5,,
0,MIROC-ES2L,r1i1p1f2,ssp370,4,,
0,MIROC-ES2L,r1i1p1f2,ssp585,1,2010,2029
0,MIROC-ES2L,r1i1p1f2,ssp585,1.5,2025,2044
0,MIROC-ES2L,r1i1p1f2,ssp585,2,2038,2057
0,MIROC-ES2L,r1i1p1f2,ssp585,2.5,2048,2067
0,MIROC-ES2L,r1i1p1f2,ssp585,3,2061,2080
0,MIROC-ES2L,r1i1p1f2,ssp585,3.5,2072,2091
0,MIROC-ES2L,r1i1p1f2,ssp585,4,2081,2100
0,MIROC6,r1i1p1f1,ssp126,1,2017,2036
0,MIROC6,r1i1p1f1,ssp126,1.5,,
0,MIROC6,r1i1p1f1,ssp126,2,,
0,MIROC6,r1i1p1f1,ssp126,2.5,,
0,MIROC6,r1i1p1f1,ssp126,3,,
0,MIROC6,r1i1p1f1,ssp126,3.5,,
0,MIROC6,r1i1p1f1,ssp126,4,,
0,MIROC6,r1i1p1f1,ssp245,1,2017,2036
0,MIROC6,r1i1p1f1,ssp245,1.5,2040,2059
0,MIROC6,r1i1p1f1,ssp245,2,2068,2087
0,MIROC6,r1i1p1f1,ssp245,2.5,,
0,MIROC6,r1i1p1f1,ssp245,3,,
0,MIROC6,r1i1p1f1,ssp245,3.5,,
0,MIROC6,r1i1p1f1,ssp245,4,,
0,MIROC6,r1i1p1f1,ssp370,1,2018,2037
0,MIROC6,r1i1p1f1,ssp370,1.5,2035,2054
0,MIROC6,r1i1p1f1,ssp370,2,2051,2070
0,MIROC6,r1i1p1f1,ssp370,2.5,2068,2087
0,MIROC6,r1i1p1f1,ssp370,3,,
0,MIROC6,r1i1p1f1,ssp370,3.5,,
0,MIROC6,r1i1p1f1,ssp370,4,,
0,MIROC6,r1i1p1f1,ssp585,1,2016,2035
0,MIROC6,r1i1p1f1,ssp585,1.5,2032,2051
0,MIROC6,r1i1p1f1,ssp585,2,2044,2063
0,MIROC6,r1i1p1f1,ssp585,2.5,2057,2076
0,MIROC6,r1i1p1f1,ssp585,3,2068,2087
0,MIROC6,r1i1p1f1,ssp585,3.5,2078,2097
0,MIROC6,r1i1p1f1,ssp585,4,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp126,1,2003,2022
0,MPI-ESM1-2-HR,r1i1p1f1,ssp126,1.5,2034,2053
0,MPI-ESM1-2-HR,r1i1p1f1,ssp126,2,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp126,2.5,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp126,3,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp126,3.5,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp126,4,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp245,1,2004,2023
0,MPI-ESM1-2-HR,r1i1p1f1,ssp245,1.5,2029,2048
0,MPI-ESM1-2-HR,r1i1p1f1,ssp245,2,2055,2074
0,MPI-ESM1-2-HR,r1i1p1f1,ssp245,2.5,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp245,3,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp245,3.5,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp245,4,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp370,1,2004,2023
0,MPI-ESM1-2-HR,r1i1p1f1,ssp370,1.5,2026,2045
0,MPI-ESM1-2-HR,r1i1p1f1,ssp370,2,2042,2061
0,MPI-ESM1-2-HR,r1i1p1f1,ssp370,2.5,2057,2076
0,MPI-ESM1-2-HR,r1i1p1f1,ssp370,3,2072,2091
0,MPI-ESM1-2-HR,r1i1p1f1,ssp370,3.5,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp370,4,,
0,MPI-ESM1-2-HR,r1i1p1f1,ssp585,1,2003,2022
0,MPI-ESM1-2-HR,r1i1p1f1,ssp585,1.5,2024,2043
0,MPI-ESM1-2-HR,r1i1p1f1,ssp585,2,2041,2060
0,MPI-ESM1-2-HR,r1i1p1f1,ssp585,2.5,2053,2072
0,MPI-ESM1-2-HR,r1i1p1f1,ssp585,3,2065,2084
0,MPI-ESM1-2-HR,r1i1p1f1,ssp585,3.5,2075,2094
0,MPI-ESM1-2-HR,r1i1p1f1,ssp585,4,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp126,1,1995,2014
0,MPI-ESM1-2-LR,r1i1p1f1,ssp126,1.5,2032,2051
0,MPI-ESM1-2-LR,r1i1p1f1,ssp126,2,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp126,2.5,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp126,3,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp126,3.5,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp126,4,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp245,1,1995,2014
0,MPI-ESM1-2-LR,r1i1p1f1,ssp245,1.5,2025,2044
0,MPI-ESM1-2-LR,r1i1p1f1,ssp245,2,2051,2070
0,MPI-ESM1-2-LR,r1i1p1f1,ssp245,2.5,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp245,3,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp245,3.5,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp245,4,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp370,1,1995,2014
0,MPI-ESM1-2-LR,r1i1p1f1,ssp370,1.5,2025,2044
0,MPI-ESM1-2-LR,r1i1p1f1,ssp370,2,2039,2058
0,MPI-ESM1-2-LR,r1i1p1f1,ssp370,2.5,2054,2073
0,MPI-ESM1-2-LR,r1i1p1f1,ssp370,3,2069,2088
0,MPI-ESM1-2-LR,r1i1p1f1,ssp370,3.5,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp370,4,,
0,MPI-ESM1-2-LR,r1i1p1f1,ssp585,1,1995,2014
0,MPI-ESM1-2-LR,r1i1p1f1,ssp585,1.5,2023,2042
0,MPI-ESM1-2-LR,r1i1p1f1,ssp585,2,2039,2058
0,MPI-ESM1-2-LR,r1i1p1f1,ssp585,2.5,2051,2070
0,MPI-ESM1-2-LR,r1i1p1f1,ssp585,3,2061,2080
0,MPI-ESM1-2-LR,r1i1p1f1,ssp585,3.5,2071,2090
0,MPI-ESM1-2-LR,r1i1p1f1,ssp585,4,2081,2100
0,MRI-ESM2-0,r1i1p1f1,ssp126,1,2005,2024
0,MRI-ESM2-0,r1i1p1f1,ssp126,1.5,2021,2040
0,MRI-ESM2-0,r1i1p1f1,ssp126,2,,
0,MRI-ESM2-0,r1i1p1f1,ssp126,2.5,,
0,MRI-ESM2-0,r1i1p1f1,ssp126,3,,
0,MRI-ESM2-0,r1i1p1f1,ssp126,3.5,,
0,MRI-ESM2-0,r1i1p1f1,ssp126,4,,
0,MRI-ESM2-0,r1i1p1f1,ssp245,1,2005,2024
0,MRI-ESM2-0,r1i1p1f1,ssp245,1.5,2021,2040
0,MRI-ESM2-0,r1i1p1f1,ssp245,2,2040,2059
0,MRI-ESM2-0,r1i1p1f1,ssp245,2.5,2065,2084
0,MRI-ESM2-0,r1i1p1f1,ssp245,3,,
0,MRI-ESM2-0,r1i1p1f1,ssp245,3.5,,
0,MRI-ESM2-0,r1i1p1f1,ssp245,4,,
0,MRI-ESM2-0,r1i1p1f1,ssp370,1,2005,2024
0,MRI-ESM2-0,r1i1p1f1,ssp370,1.5,2022,2041
0,MRI-ESM2-0,r1i1p1f1,ssp370,2,2036,2055
0,MRI-ESM2-0,r1i1p1f1,ssp370,2.5,2050,2069
0,MRI-ESM2-0,r1i1p1f1,ssp370,3,2065,2084
0,MRI-ESM2-0,r1i1p1f1,ssp370,3.5,2078,2097
0,MRI-ESM2-0,r1i1p1f1,ssp370,4,,
0,MRI-ESM2-0,r1i1p1f1,ssp585,1,2004,2023
0,MRI-ESM2-0,r1i1p1f1,ssp585,1.5,2017,2036
0,MRI-ESM2-0,r1i1p1f1,ssp585,2,2029,2048
0,MRI-ESM2-0,r1i1p1f1,ssp585,2.5,2042,2061
0,MRI-ESM2-0,r1i1p1f1,ssp585,3,2055,2074
0,MRI-ESM2-0,r1i1p1f1,ssp585,3.5,2064,2083
0,MRI-ESM2-0,r1i1p1f1,ssp585,4,2074,2093
0,NorESM2-LM,r1i1p1f1,ssp126,1,2018,2037
0,NorESM2-LM,r1i1p1f1,ssp126,1.5,,
0,NorESM2-LM,r1i1p1f1,ssp126,2,,
0,NorESM2-LM,r1i1p1f1,ssp126,2.5,,
0,NorESM2-LM,r1i1p1f1,ssp126,3,,
0,NorESM2-LM,r1i1p1f1,ssp126,3.5,,
0,NorESM2-LM,r1i1p1f1,ssp126,4,,
0,NorESM2-LM,r1i1p1f1,ssp245,1,2020,2039
0,NorESM2-LM,r1i1p1f1,ssp245,1.5,2046,2065
0,NorESM2-LM,r1i1p1f1,ssp245,2,2075,2094
0,NorESM2-LM,r1i1p1f1,ssp245,2.5,,
0,NorESM2-LM,r1i1p1f1,ssp245,3,,
0,NorESM2-LM,r1i1p1f1,ssp245,3.5,,
0,NorESM2-LM,r1i1p1f1,ssp245,4,,
0,NorESM2-LM,r1i1p1f1,ssp370,1,2023,2042
0,NorESM2-LM,r1i1p1f1,ssp370,1.5,2041,2060
0,NorESM2-LM,r1i1p1f1,ssp370,2,2060,2079
0,NorESM2-LM,r1i1p1f1,ssp370,2.5,2072,2091
0,NorESM2-LM,r1i1p1f1,ssp370,3,,
0,NorESM2-LM,r1i1p1f1,ssp370,3.5,,
0,NorESM2-LM,r1i1p1f1,ssp370,4,,
0,NorESM2-LM,r1i1p1f1,ssp585,1,2014,2033
0,NorESM2-LM,r1i1p1f1,ssp585,1.5,2033,2052
0,NorESM2-LM,r1i1p1f1,ssp585,2,2047,2066
0,NorESM2-LM,r1i1p1f1,ssp585,2.5,2058,2077
0,NorESM2-LM,r1i1p1f1,ssp585,3,2068,2087
0,NorESM2-LM,r1i1p1f1,ssp585,3.5,2077,2096
0,NorESM2-LM,r1i1p1f1,ssp585,4,,
0,NorESM2-MM,r1i1p1f1,ssp126,1,2013,2032
0,NorESM2-MM,r1i1p1f1,ssp126,1.5,,
0,NorESM2-MM,r1i1p1f1,ssp126,2,,
0,NorESM2-MM,r1i1p1f1,ssp126,2.5,,
0,NorESM2-MM,r1i1p1f1,ssp126,3,,
0,NorESM2-MM,r1i1p1f1,ssp126,3.5,,
0,NorESM2-MM,r1i1p1f1,ssp126,4,,
0,NorESM2-MM,r1i1p1f1,ssp245,1,2019,2038
0,NorESM2-MM,r1i1p1f1,ssp245,1.5,2037,2056
0,NorESM2-MM,r1i1p1f1,ssp245,2,2069,2088
0,NorESM2-MM,r1i1p1f1,ssp245,2.5,,
0,NorESM2-MM,r1i1p1f1,ssp245,3,,
0,NorESM2-MM,r1i1p1f1,ssp245,3.5,,
0,NorESM2-MM,r1i1p1f1,ssp245,4,,
0,NorESM2-MM,r1i1p1f1,ssp370,1,2022,2041
0,NorESM2-MM,r1i1p1f1,ssp370,1.5,2037,2056
0,NorESM2-MM,r1i1p1f1,ssp370,2,2053,2072
0,NorESM2-MM,r1i1p1f1,ssp370,2.5,2069,2088
0,NorESM2-MM,r1i1p1f1,ssp370,3,2081,2100
0,NorESM2-MM,r1i1p1f1,ssp370,3.5,,
0,NorESM2-MM,r1i1p1f1,ssp370,4,,
0,NorESM2-MM,r1i1p1f1,ssp585,1,2016,2035
0,NorESM2-MM,r1i1p1f1,ssp585,1.5,2030,2049
0,NorESM2-MM,r1i1p1f1,ssp585,2,2045,2064
0,NorESM2-MM,r1i1p1f1,ssp585,2.5,2057,2076
0,NorESM2-MM,r1i1p1f1,ssp585,3,2067,2086
0,NorESM2-MM,r1i1p1f1,ssp585,3.5,2076,2095
0,NorESM2-MM,r1i1p1f1,ssp585,4,,
0,TaiESM1,r1i1p1f1,ssp126,1,2007,2026
0,TaiESM1,r1i1p1f1,ssp126,1.5,2017,2036
0,TaiESM1,r1i1p1f1,ssp126,2,2028,2047
0,TaiESM1,r1i1p1f1,ssp126,2.5,2046,2065
0,TaiESM1,r1i1p1f1,ssp126,3,,
0,TaiESM1,r1i1p1f1,ssp126,3.5,,
0,TaiESM1,r1i1p1f1,ssp126,4,,
0,TaiESM1,r1i1p1f1,ssp245,1,2009,2028
0,TaiESM1,r1i1p1f1,ssp245,1.5,2020,2039
0,TaiESM1,r1i1p1f1,ssp245,2,2032,2051
0,TaiESM1,r1i1p1f1,ssp245,2.5,2044,2063
0,TaiESM1,r1i1p1f1,ssp245,3,2057,2076
0,TaiESM1,r1i1p1f1,ssp245,3.5,2072,2091
0,TaiESM1,r1i1p1f1,ssp245,4,,
0,TaiESM1,r1i1p1f1,ssp370,1,2009,2028
0,TaiESM1,r1i1p1f1,ssp370,1.5,2022,2041
0,TaiESM1,r1i1p1f1,ssp370,2,2033,2052
0,TaiESM1,r1i1p1f1,ssp370,2.5,2042,2061
0,TaiESM1,r1i1p1f1,ssp370,3,2051,2070
0,TaiESM1,r1i1p1f1,ssp370,3.5,2060,2079
0,TaiESM1,r1i1p1f1,ssp370,4,2071,2090
0,TaiESM1,r1i1p1f1,ssp585,1,2008,2027
0,TaiESM1,r1i1p1f1,ssp585,1.5,2017,2036
0,TaiESM1,r1i1p1f1,ssp585,2,2026,2045
0,TaiESM1,r1i1p1f1,ssp585,2.5,2033,2052
0,TaiESM1,r1i1p1f1,ssp585,3,2041,2060
0,TaiESM1,r1i1p1f1,ssp585,3.5,2049,2068
0,TaiESM1,r1i1p1f1,ssp585,4,2057,2076
0,UKESM1-0-LL,r1i1p1f2,ssp126,1,2000,2019
0,UKESM1-0-LL,r1i1p1f2,ssp126,1.5,2012,2031
0,UKESM1-0-LL,r1i1p1f2,ssp126,2,2024,2043
0,UKESM1-0-LL,r1i1p1f2,ssp126,2.5,2043,2062
0,UKESM1-0-LL,r1i1p1f2,ssp126,3,,
0,UKESM1-0-LL,r1i1p1f2,ssp126,3.5,,
0,UKESM1-0-LL,r1i1p1f2,ssp126,4,,
0,UKESM1-0-LL,r1i1p1f2,ssp245,1,2000,2019
0,UKESM1-0-LL,r1i1p1f2,ssp245,1.5,2012,2031
0,UKESM1-0-LL,r1i1p1f2,ssp245,2,2023,2042
0,UKESM1-0-LL,r1i1p1f2,ssp245,2.5,2035,2054
0,UKESM1-0-LL,r1i1p1f2,ssp245,3,2047,2066
0,UKESM1-0-LL,r1i1p1f2,ssp245,3.5,2062,2081
0,UKESM1-0-LL,r1i1p1f2,ssp245,4,2078,2097
0,UKESM1-0-LL,r1i1p1f2,ssp370,1,2000,2019
0,UKESM1-0-LL,r1i1p1f2,ssp370,1.5,2012,2031
0,UKESM1-0-LL,r1i1p1f2,ssp370,2,2021,2040
0,UKESM1-0-LL,r1i1p1f2,ssp370,2.5,2030,2049
0,UKESM1-0-LL,r1i1p1f2,ssp370,3,2039,2058
0,UKESM1-0-LL,r1i1p1f2,ssp370,3.5,2049,2068
0,UKESM1-0-LL,r1i1p1f2,ssp370,4,2058,2077
0,UKESM1-0-LL,r1i1p1f2,ssp585,1,2000,2019
0,UKESM1-0-LL,r1i1p1f2,ssp585,1.5,2012,2031
0,UKESM1-0-LL,r1i1p1f2,ssp585,2,2021,2040
0,UKESM1-0-LL,r1i1p1f2,ssp585,2.5,2029,2048
0,UKESM1-0-LL,r1i1p1f2,ssp585,3,2036,2055
0,UKESM1-0-LL,r1i1p1f2,ssp585,3.5,2043,2062
0,UKESM1-0-LL,r1i1p1f2,ssp585,4,2050,2069
